id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,21,UNIT,2020/2021
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,28,UNIT,2020/2021
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,17,UNIT,2020/2021
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,11,UNIT,2020/2021
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,30,UNIT,2020/2021
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,19,UNIT,2020/2021
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,44,UNIT,2020/2021
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,78,UNIT,2020/2021
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,17,UNIT,2020/2021
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,43,UNIT,2020/2021
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,5,UNIT,2020/2021
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,3,UNIT,2020/2021
253,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,10,UNIT,2020/2021
254,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,44,UNIT,2020/2021
255,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,5,UNIT,2020/2021
256,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,14,UNIT,2020/2021
257,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,27,UNIT,2020/2021
258,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,112,UNIT,2020/2021
259,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,9,UNIT,2020/2021
260,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,18,UNIT,2020/2021
261,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,22,UNIT,2020/2021
262,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,87,UNIT,2020/2021
263,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,16,UNIT,2020/2021
264,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,52,UNIT,2020/2021
265,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,6,UNIT,2020/2021
266,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,10,UNIT,2020/2021
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,10,UNIT,2020/2021
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,17,UNIT,2020/2021
269,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3,UNIT,2020/2021
270,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2,UNIT,2020/2021
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,45,UNIT,2021/2022
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,155,UNIT,2021/2022
273,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,27,UNIT,2021/2022
274,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,57,UNIT,2021/2022
275,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,18,UNIT,2021/2022
276,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,78,UNIT,2021/2022
277,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,19,UNIT,2021/2022
278,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,92,UNIT,2021/2022
279,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,32,UNIT,2021/2022
